,latitude,longitude,state,county,reg_mult,feedstock region
0,41.592,-99.148,Nebraska,Valley,1.0346045,West North Central
1,31.751,-103.821,Texas,Reeves,1.016191,West South Central
2,40.649,-96.785,Nebraska,Lancaster,1.0442772,West North Central
3,39.571,-90.647,Illinois,Pike,1.0354701,East North Central
4,44.357,-103.604,SouthDakota,Lawrence,1.0214393,West North Central
5,31.345,-99.849,Texas,Concho,0.97959596,West South Central
6,33.761,-104.96,NewMexico,Lincoln,1.0330216,Mountain
7,39.102,-117.3,Nevada,Nye,1.1149347,Mountain
8,32.679,-88.705,Mississippi,Kemper,0.95854974,East South Central
9,31.666,-90.206,Mississippi,Lawrence,0.9622349,East South Central
10,41.764,-118.22,Nevada,Humboldt,1.0893117,Mountain
11,34.475,-95.527,Oklahoma,Pushmataha,0.9879551,West South Central
12,46.887,-122.567,Washington,Thurston,1.0505021,Pacific
13,34.292,-79.506,SouthCarolina,Dillon,0.9564356,South Atlantic
14,38.806,-103.102,Colorado,Cheyenne,1.0306168,Mountain
15,43.28,-95.007,Iowa,Dickinson,1.0577781,West North Central
16,46.254,-116.217,Idaho,Lewis,1.0630084,Mountain
17,38.317,-113.763,Utah,Beaver,1.0762181,Mountain
18,33.444,-81.549,SouthCarolina,Aiken,0.94547915,South Atlantic
19,32.799,-110.823,Arizona,Pinal,0.9919855,Mountain
20,33.383,-81.035,SouthCarolina,Orangeburg,0.9460731,South Atlantic
21,39.179,-94.644,Missouri,Platte,1.0049902,West North Central
22,35.999,-120.072,California,Kings,1.1364288,Pacific
23,45.741,-103.31,SouthDakota,Harding,1.0347149,West North Central
24,41.319,-84.033,Ohio,Henry,1.0124863,East North Central
25,44.629,-113.3,Idaho,Lemhi,1.0594207,Mountain
26,45.741,-123.839,Oregon,Tillamook,1.0845233,Pacific
27,37.171,-112.621,Utah,Kane,1.0659915,Mountain
28,44.702,-83.351,Michigan,Alcona,1.0147097,East North Central
29,41.281,-83.597,Ohio,Wood,1.0129677,East North Central
30,34.854,-83.539,Georgia,Rabun,0.9470064,South Atlantic
31,44.547,-94.986,Minnesota,Renville,1.0729669,West North Central
32,34.425,-89.848,Mississippi,Panola,0.96521884,East South Central
33,35.001,-87.796,Alabama,Lauderdale,0.9548028,East South Central
34,41.716,-97.534,Nebraska,Platte,1.0453768,West North Central
35,35.75,-90.809,Arkansas,Craighead,0.98140526,West South Central
36,34.465,-97.64,Oklahoma,Stephens,1.003127,West South Central
37,40.763,-100.849,Nebraska,Lincoln,1.0312508,West North Central
38,42.5,-85.305,Michigan,Barry,1.0031596,East North Central
39,44.907,-89.701,Wisconsin,Marathon,1.0206578,East North Central
40,38.135,-122.16,California,Solano,1.1787382,Pacific
41,33.355,-98.916,Texas,Young,0.98974335,West South Central
42,36.928,-84.536,Kentucky,Pulaski,0.9579502,East South Central
43,30.1,-97.67,Texas,Travis,0.9520883,West South Central
44,38.278,-98.712,Kansas,Barton,1.0297968,West North Central
45,35.45,-90.697,Arkansas,Poinsett,0.97423476,West South Central
46,34.636,-84.378,Georgia,Gilmer,0.9490132,South Atlantic
47,30.27,-84.678,Florida,Wakulla,0.9571256,South Atlantic
48,42.405,-88.462,Illinois,McHenry,1.087668,East North Central
49,42.121,-119.724,Oregon,Lake,1.0966063,Pacific
50,35.688,-108.049,NewMexico,McKinley,1.0381328,Mountain
51,42.339,-77.051,NewYork,Schuyler,1.0255518,Middle Atlantic
52,41.822,-77.66,Pennsylvania,Potter,1.0359156,Middle Atlantic
53,33.385,-88.894,Mississippi,Oktibbeha,0.9610663,East South Central
54,47.94,-106.057,Montana,McCone,1.0504258,Mountain
55,33.698,-91.35,Arkansas,Desha,0.9676539,West South Central
56,39.414,-114.499,Nevada,White Pine,1.0779161,Mountain
57,35.816,-80.506,NorthCarolina,Davie,0.95084697,South Atlantic
58,48.913,-104.562,Montana,Sheridan,1.0495391,Mountain
59,31.386,-81.953,Georgia,Wayne,0.95229846,South Atlantic
60,33.056,-110.352,Arizona,Graham,0.99972886,Mountain
61,45.919,-86.583,Michigan,Delta,1.0133476,East North Central
62,34.498,-119.413,California,Ventura,1.1377324,Pacific
63,41.009,-118.549,Nevada,Humboldt,1.1059855,Mountain
64,39.318,-100.174,Kansas,Sheridan,1.0311223,West North Central
65,36.978,-112.573,Arizona,Mohave,1.0675474,Mountain
66,32.521,-110.636,Arizona,Pinal,0.9990169,Mountain
67,29.524,-104.213,Texas,Presidio,1.0084481,West South Central
68,42.406,-95.765,Iowa,Woodbury,1.0486854,West North Central
69,29.635,-100.258,Texas,Edwards,0.9709751,West South Central
70,40.373,-100.82,Nebraska,Hayes,1.0311973,West North Central
71,45.27,-104.819,Montana,Carter,1.0329952,Mountain
72,30.204,-97.299,Texas,Bastrop,0.94948065,West South Central
73,42.571,-111.355,Idaho,Bear Lake,1.055969,Mountain
74,43.28,-75.211,NewYork,Oneida,1.0286425,Middle Atlantic
75,33.35,-112.783,Arizona,Maricopa,0.97876185,Mountain
76,36.519,-120.54,California,Fresno,1.1429266,Pacific
77,33.791,-80.286,SouthCarolina,Sumter,0.9462092,South Atlantic
78,35.994,-112.471,Arizona,Coconino,1.056269,Mountain
79,41.005,-87.899,Illinois,Kankakee,1.0761379,East North Central
80,40.281,-121.56,California,Tehama,1.1207097,Pacific
81,33.091,-86.062,Alabama,Coosa,0.9494828,East South Central
82,37.56,-83.871,Kentucky,Lee,0.9650524,East South Central
83,34.289,-104.497,NewMexico,De Baca,1.0333663,Mountain
84,44.696,-104.578,Wyoming,Crook,1.0279386,Mountain
85,27.794,-97.742,Texas,Nueces,0.9541556,West South Central
86,41.557,-114.089,Nevada,Elko,1.0646049,Mountain
87,34.117,-87.898,Alabama,Marion,0.95296985,East South Central
88,26.963,-81.411,Florida,Glades,0.96311605,South Atlantic
89,46.436,-88.896,Michigan,Houghton,1.0257374,East North Central
90,35.972,-87.545,Tennessee,Humphreys,0.96221673,East South Central
91,43.575,-90.599,Wisconsin,Vernon,1.0488616,East North Central
92,40.639,-94.179,Iowa,Ringgold,1.0387008,West North Central
93,33.185,-115.917,California,Imperial,1.1014403,Pacific
94,41.704,-101.807,Nebraska,Arthur,1.0300441,West North Central
95,42.991,-96.214,Iowa,Sioux,1.0505404,West North Central
96,41.517,-77.601,Pennsylvania,Potter,1.0370656,Middle Atlantic
97,45.979,-99.227,NorthDakota,McIntosh,1.0444397,West North Central
98,39.788,-100.776,Kansas,Rawlins,1.0309552,West North Central
99,35.139,-93.389,Arkansas,Yell,0.9749886,West South Central
100,46.714,-108.098,Montana,Musselshell,1.0596985,Mountain
101,32.201,-102.971,Texas,Andrews,1.0103831,West South Central
102,40.062,-123.711,California,Humboldt,1.1259512,Pacific
103,35.729,-106.431,NewMexico,Sandoval,1.0394125,Mountain
104,33.579,-90.836,Mississippi,Bolivar,0.96510315,East South Central
105,40.012,-108.279,Colorado,Rio Blanco,1.0383004,Mountain
106,38.307,-87.107,Indiana,Pike,0.9837962,East North Central
107,32.44,-108.674,NewMexico,Hidalgo,1.0271509,Mountain
108,30.753,-84.478,Georgia,Decatur,0.9570804,South Atlantic
109,35.616,-103.851,NewMexico,Harding,1.0331391,Mountain
110,48.641,-101.865,NorthDakota,Ward,1.0450995,West North Central
111,39.445,-99.045,Kansas,Osborne,1.032378,West North Central
112,34.617,-105.467,NewMexico,Torrance,1.0383701,Mountain
113,45.241,-68.214,Maine,Penobscot,1.0784163,New England
114,30.921,-100.583,Texas,Schleicher,0.98257333,West South Central
115,41.692,-114.578,Nevada,Elko,1.066984,Mountain
116,45.16,-106.525,Montana,Big Horn,1.0404011,Mountain
117,43.788,-121.178,Oregon,Deschutes,1.0871636,Pacific
118,47.319,-120.592,Washington,Kittitas,1.0528035,Pacific
119,39.029,-102.56,Colorado,Cheyenne,1.0308658,Mountain
120,32.034,-82.345,Georgia,Toombs,0.95026696,South Atlantic
121,48.857,-103.72,NorthDakota,Divide,1.0476563,West North Central
122,30.006,-97.171,Texas,Bastrop,0.9477563,West South Central
123,32.787,-97.473,Texas,Tarrant,0.9773759,West South Central
124,35.548,-88.673,Tennessee,Madison,0.96652555,East South Central
125,35.755,-96.46,Oklahoma,Creek,1.0131052,West South Central
126,35.525,-80.571,NorthCarolina,Rowan,0.9461971,South Atlantic
127,42.127,-108.847,Wyoming,Sweetwater,1.0446928,Mountain
128,43.872,-75.161,NewYork,Lewis,1.0445926,Middle Atlantic
129,44.257,-101.438,SouthDakota,Haakon,1.0287813,West North Central
130,39.711,-102.629,Colorado,Yuma,1.03069,Mountain
131,34.332,-105.297,NewMexico,Lincoln,1.0362214,Mountain
132,48.064,-96.233,Minnesota,Pennington,1.0566572,West North Central
133,35.2,-113.91,Arizona,Mohave,1.0723909,Mountain
134,38.964,-116.244,Nevada,Nye,1.1074187,Mountain
135,35.449,-113.566,Arizona,Mohave,1.0703862,Mountain
136,39.749,-90.203,Illinois,Morgan,1.0353626,East North Central
137,40.626,-90.124,Illinois,Fulton,1.0523802,East North Central
138,43.442,-102.276,SouthDakota,Oglala Lakota,1.0247588,West North Central
139,43.639,-115.646,Idaho,Elmore,1.0537525,Mountain
140,44.036,-113.283,Idaho,Butte,1.0577797,Mountain
141,42.135,-74.231,NewYork,Greene,1.0812879,Middle Atlantic
142,39.924,-78.351,Pennsylvania,Bedford,1.0378473,Middle Atlantic
143,46.989,-95.586,Minnesota,Becker,1.0643278,West North Central
144,34.119,-106.723,NewMexico,Socorro,1.0390259,Mountain
145,46.953,-116.96,Idaho,Latah,1.0601037,Mountain
146,41.126,-118.442,Nevada,Humboldt,1.1037511,Mountain
147,34.689,-119.478,California,Santa Barbara,1.1364685,Pacific
148,40.178,-100.805,Nebraska,Hitchcock,1.031145,West North Central
149,45.278,-110.957,Montana,Park,1.0625975,Mountain
150,31.835,-106.645,NewMexico,Doña Ana,1.0233271,Mountain
151,35.327,-112.991,Arizona,Yavapai,1.049674,Mountain
152,45.19,-115.212,Idaho,Valley,1.0623012,Mountain
153,37.235,-88.904,Illinois,Massac,0.994077,East North Central
154,40.384,-117.437,Nevada,Pershing,1.1065521,Mountain
155,44.207,-99.899,SouthDakota,Hughes,1.0375514,West North Central
156,35.589,-112.511,Arizona,Coconino,1.047643,Mountain
157,37.719,-78.234,Virginia,Fluvanna,1.004483,South Atlantic
158,43.087,-118.089,Oregon,Malheur,1.0688661,Pacific
159,45.206,-98.872,SouthDakota,Faulk,1.0450003,West North Central
160,37.03,-95.373,Kansas,Labette,1.01951,West North Central
161,34.663,-82.637,SouthCarolina,Anderson,0.9402687,South Atlantic
162,34.075,-81.819,SouthCarolina,Saluda,0.94166803,South Atlantic
163,44.921,-83.618,Michigan,Alpena,1.0139985,East North Central
164,43.228,-102.707,SouthDakota,Oglala Lakota,1.0253193,West North Central
165,37.129,-101.138,Kansas,Stevens,1.0279028,West North Central
166,32.176,-98.485,Texas,Erath,0.9763707,West South Central
167,44.087,-91.319,Wisconsin,Trempealeau,1.059123,East North Central
168,41.268,-79.606,Pennsylvania,Clarion,1.0249662,Middle Atlantic
169,38.777,-105.217,Colorado,Teller,1.0289134,Mountain
170,32.551,-110.382,Arizona,Graham,1.0029861,Mountain
171,31.932,-91.845,Louisiana,Catahoula,0.95953,West South Central
172,31.501,-94.913,Texas,Cherokee,0.95335066,West South Central
173,41.775,-104.326,Wyoming,Goshen,1.0327151,Mountain
174,34.377,-96.056,Oklahoma,Atoka,0.9897886,West South Central
175,33.285,-113.957,Arizona,Yuma,1.0299231,Mountain
176,35.653,-109.398,Arizona,Apache,1.0369165,Mountain
177,31.653,-89.952,Mississippi,Jefferson Davis,0.9616456,East South Central
178,34.008,-91.724,Arkansas,Lincoln,0.9708532,West South Central
179,31.375,-101.625,Texas,Reagan,0.9946405,West South Central
180,32.615,-104.302,NewMexico,Eddy,1.022219,Mountain
181,32.53,-86.526,Alabama,Autauga,0.9514186,East South Central
182,45.075,-102.916,SouthDakota,Perkins,1.0278435,West North Central
183,32.676,-98.244,Texas,Palo Pinto,0.9810335,West South Central
184,33.852,-108.529,NewMexico,Catron,1.0322263,Mountain
185,44.94,-109.302,Wyoming,Park,1.0546178,Mountain
186,31.704,-95.672,Texas,Anderson,0.9554227,West South Central
187,45.501,-110.696,Montana,Park,1.0643058,Mountain
188,44.318,-102.367,SouthDakota,Meade,1.0236102,West North Central
189,30.774,-98.941,Texas,Llano,0.96872234,West South Central
190,38.782,-97.888,Kansas,Saline,1.029395,West North Central
191,45.973,-115.312,Idaho,Idaho,1.0645764,Mountain
192,39.688,-123.546,California,Mendocino,1.1316714,Pacific
193,33.277,-85.905,Alabama,Clay,0.9492745,East South Central
194,48.482,-103.337,NorthDakota,Williams,1.0461754,West North Central
195,37.592,-85.397,Kentucky,Marion,0.9661386,East South Central
196,45.769,-89.293,Wisconsin,Oneida,1.0213655,East North Central
197,37.758,-76.388,Virginia,Lancaster,1.0547402,South Atlantic
198,48.355,-96.728,Minnesota,Marshall,1.0542489,West North Central
199,41.205,-76.052,Pennsylvania,Luzerne,0.9870257,Middle Atlantic
200,46.482,-98.457,NorthDakota,LaMoure,1.0455458,West North Central
201,34.666,-94.732,Oklahoma,Le Flore,0.9804098,West South Central
202,28.676,-98.861,Texas,Frio,0.95927876,West South Central
203,38.054,-79.276,Virginia,Augusta,0.98909265,South Atlantic
204,34.992,-108.063,NewMexico,Cibola,1.0389091,Mountain
205,28.661,-81.956,Florida,Sumter,0.96429545,South Atlantic
206,46.922,-119.259,Washington,Grant,1.0608257,Pacific
207,46.779,-104.085,Montana,Wibaux,1.041664,Mountain
208,43.673,-85.251,Michigan,Mecosta,1.0042127,East North Central
209,42.28,-76.614,NewYork,Chemung,1.0233996,Middle Atlantic
210,37.322,-94.957,Kansas,Cherokee,1.0173931,West North Central
211,46.799,-110.543,Montana,Judith Basin,1.0779423,Mountain
212,32.92,-104.207,NewMexico,Eddy,1.0249646,Mountain
213,39.623,-92.212,Missouri,Shelby,1.0355239,West North Central
214,48.51,-118.739,Washington,Ferry,1.0593286,Pacific
215,35.786,-111.739,Arizona,Coconino,1.0403633,Mountain
216,43.96,-94.69,Minnesota,Watonwan,1.0702466,West North Central
217,35.967,-107.146,NewMexico,Sandoval,1.0381644,Mountain
218,47.823,-110.148,Montana,Chouteau,1.0785762,Mountain
219,43.803,-110.898,Wyoming,Teton,1.0539266,Mountain
220,38.203,-97.174,Kansas,Marion,1.0315573,West North Central
221,45.017,-114.205,Idaho,Lemhi,1.0619928,Mountain
222,30.03,-100.405,Texas,Edwards,0.97698045,West South Central
223,38.996,-90.977,Missouri,Lincoln,1.0294015,West North Central
224,42.096,-75.308,NewYork,Delaware,1.0444871,Middle Atlantic
225,41.583,-122.713,California,Siskiyou,1.1159867,Pacific
226,47.18,-118.203,Washington,Adams,1.0596105,Pacific
227,48.848,-101.554,NorthDakota,Renville,1.0455385,West North Central
228,33.192,-96.055,Texas,Hunt,0.97292393,West South Central
229,41.838,-109.831,Wyoming,Sweetwater,1.0519527,Mountain
230,47.372,-97.525,NorthDakota,Steele,1.0484647,West North Central
231,34.785,-89.152,Mississippi,Benton,0.9630865,East South Central
232,48.832,-104.216,Montana,Sheridan,1.0484533,Mountain
233,38.395,-113.926,Utah,Beaver,1.0844083,Mountain
234,45.348,-91.063,Wisconsin,Rusk,1.0624417,East North Central
235,43.717,-104.592,Wyoming,Weston,1.0260265,Mountain
236,45.863,-108.876,Montana,Yellowstone,1.0594262,Mountain
237,48.257,-101.661,NorthDakota,Ward,1.0443321,West North Central
238,36.577,-108.069,NewMexico,San Juan,1.0351679,Mountain
239,44.83,-109.434,Wyoming,Park,1.054464,Mountain
240,35.931,-98.35,Oklahoma,Blaine,1.0212777,West South Central
241,37.915,-111.399,Utah,Garfield,1.0571054,Mountain
